timestamp,euler heading,euler roll,euler pitch,Quaternion x,Quaternion y,Quaternion z,Quaternion w,Magnetometro x,Magnetometro y,Magnetometro z,Giroscopio x,Giroscopio y,Giroscopio z,Acelerometro x,Acelerometro y,Acelerometro z,Aceleracion linealx,Aceleracion linealy,Aceleracion linealz,Aceleracion gravedadx,Aceleracion gravedady,Aceleracion gravedadz
1553627969.7015681,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-54.5,-43.5,0.0022222222222222222,0.0,0.0,-2.81,-0.1,9.21,0.06,0.0,-0.16,-2.87,-0.1,9.37
1553627969.7407115,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-54.75,-44.25,0.0,0.0011111111111111111,-0.0011111111111111111,-2.85,-0.11,9.33,0.01,-0.01,-0.04,-2.87,-0.1,9.37
1553627969.77824,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-54.75,-43.0625,0.0,0.0011111111111111111,0.0011111111111111111,-2.83,-0.11,9.39,0.03,0.0,0.01,-2.87,-0.1,9.37
1553627969.818922,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-54.75,-43.0625,0.0,0.0033333333333333335,-0.0011111111111111111,-2.85,-0.12,9.38,0.01,0.0,0.0,-2.87,-0.1,9.37
1553627969.8521297,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-54.0625,-43.875,0.0022222222222222222,-0.0022222222222222222,0.0,-2.85,-0.11,9.36,0.01,0.0,-0.01,-2.87,-0.1,9.37
1553627969.891186,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.75,-44.6875,-0.0011111111111111111,0.0011111111111111111,0.0,-2.88,-0.11,9.35,-0.01,0.0,-0.01,-2.87,-0.1,9.37
1553627969.9286673,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-54.0625,-43.875,0.0,0.0033333333333333335,0.0,-2.87,-0.12,9.39,0.0,-0.01,0.01,-2.87,-0.1,9.37
1553627969.9687946,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-54.0625,-43.875,0.0,0.0011111111111111111,0.0,-2.85,-0.11,9.37,0.0,0.0,0.0,-2.87,-0.1,9.37
1553627970.0023391,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.0625,-43.5,0.0011111111111111111,0.0011111111111111111,0.0,-2.86,-0.11,9.37,0.0,0.0,0.0,-2.87,-0.1,9.37
1553627970.0415533,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-54.75,-43.5,0.0011111111111111111,0.0,-0.0022222222222222222,-2.87,-0.09,9.34,0.0,0.01,-0.03,-2.87,-0.1,9.37
1553627970.0790668,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.25,-54.5,-43.875,-0.0022222222222222222,0.0011111111111111111,-0.0011111111111111111,-2.85,-0.11,9.31,0.01,0.0,-0.05,-2.87,-0.1,9.37
1553627970.119206,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.25,-54.5,-43.875,0.0,0.0022222222222222222,-0.0011111111111111111,-2.85,-0.09,9.36,0.0,-0.01,0.0,-2.87,-0.1,9.37
1553627970.1528015,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-54.5,-43.875,0.0022222222222222222,0.0011111111111111111,0.0011111111111111111,-2.85,-0.12,9.34,0.01,-0.01,-0.03,-2.87,-0.1,9.37
1553627970.1919367,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-55.1875,-41.5625,0.0011111111111111111,-0.0011111111111111111,-0.0022222222222222222,-2.86,-0.08,9.37,0.0,0.02,0.0,-2.87,-0.1,9.37
1553627970.229459,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-55.1875,-41.5625,0.0011111111111111111,0.0033333333333333335,-0.0011111111111111111,-2.86,-0.13,9.37,0.02,0.0,-0.02,-2.87,-0.1,9.37
1553627970.2631316,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.5625,-54.0625,-44.6875,0.0,-0.0011111111111111111,-0.0011111111111111111,-2.85,-0.11,9.35,0.0,0.0,0.0,-2.87,-0.1,9.37
1553627970.3032398,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.0625,-44.6875,0.0022222222222222222,-0.0044444444444444444,-0.0011111111111111111,-2.85,-0.11,9.35,0.01,0.0,-0.01,-2.87,-0.1,9.37
1553627970.342302,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,45.875,-54.875,-43.5,0.0011111111111111111,-0.0011111111111111111,0.0,-2.85,-0.11,9.34,0.01,0.0,-0.03,-2.87,-0.1,9.37
